date,description,category,amount,transaction_type,mode,balance
2026-07-24,SALARY CREDIT JUL,Income,52000,credit,NetBanking,52000
2026-07-24,RENT PAYMENT,Rent,18000,debit,UPI,34000
2026-07-25,SWIGGY,Food,380,debit,UPI,33620
2026-07-25,BLINKIT,Grocery,1200,debit,UPI,32420
2026-07-26,PETROL HPCL,Transport,1400,debit,Debit Card,31020
2026-07-26,UBER TRIP,Transport,250,debit,UPI,30770
2026-07-27,ZOMATO,Food,450,debit,UPI,30320
2026-07-27,STARBUCKS,Food,320,debit,Credit Card,30000
2026-07-28,AMAZON SHOPPING,Shopping,2700,debit,Credit Card,27300
2026-07-28,NETFLIX,Entertainment,649,debit,AutoPay,26651
2026-07-29,ELECTRICITY BILL,Utilities,2000,debit,NetBanking,24651
2026-07-29,MEDICAL STORE,Health,600,debit,UPI,24051
2026-07-30,BLINKIT,Grocery,900,debit,UPI,23151
2026-07-30,OLA RIDE,Transport,240,debit,UPI,22911
2026-07-31,DOMINOS,Food,650,debit,UPI,22261
2026-07-31,MYNTRA,Shopping,3200,debit,Credit Card,19061
2026-08-01,WATER BILL,Utilities,500,debit,NetBanking,18561
2026-08-01,PETROL,Transport,1200,debit,Debit Card,17361
2026-08-02,UPI/SWIGGY/BLR,Food,390,debit,UPI,16971
2026-08-02,PHARMACY,Health,350,debit,UPI,16621
2026-08-03,AMZN MKTPLACE,Shopping,2000,debit,Credit Card,14621
2026-08-03,INTERNET BILL,Utilities,1100,debit,AutoPay,13521
2026-08-04,UNKNOWN-UPI-TRX-99,REVIEW_REQUIRED,950,debit,UPI,12571
2026-08-04,UBER,Transport,260,debit,UPI,12311
2026-08-05,SWIGGY,Food,420,debit,UPI,11891
2026-08-05,MOVIE,Entertainment,700,debit,Credit Card,11191
2026-08-06,GROCERY STORE,Grocery,2300,debit,Debit Card,8891
2026-08-06,STARBUCKS,Food,270,debit,Credit Card,8621
2026-08-07,AMAZON ELECTRONICS,Shopping,4000,debit,Credit Card,4621
2026-08-07,UPI TO FRIEND,P2P,800,debit,UPI,3821
2026-08-08,PETROL,Transport,1300,debit,Debit Card,2521
2026-08-08,ZOMATO,Food,420,debit,UPI,2101
2026-08-09,PHARMACY,Health,450,debit,UPI,1651
2026-08-09,SWIGGY,Food,360,debit,UPI,1291
2026-08-10,MOBILE RECHARGE,Utilities,350,debit,UPI,941
2026-08-10,BLINKIT,Grocery,800,debit,UPI,141
2026-08-11,UPI CREDIT,P2P,3000,credit,UPI,3141
2026-08-11,DOMINOS,Food,630,debit,UPI,2511
2026-08-12,SHOPPING MALL,Shopping,2500,debit,Credit Card,11
2026-08-13,BONUS CREDIT,Income,15000,credit,NetBanking,15011
2026-08-13,SWIGGY,Food,350,debit,UPI,14661
2026-08-14,PETROL,Transport,1100,debit,Debit Card,13561
2026-08-14,NETFLIX,Entertainment,649,debit,AutoPay,12912
2026-08-15,GROCERY,Grocery,2000,debit,Debit Card,10912
2026-08-15,OLA,Transport,240,debit,UPI,10672
2026-08-16,ZOMATO,Food,460,debit,UPI,10212
2026-08-16,MEDICAL STORE,Health,380,debit,UPI,9832
2026-08-17,AMAZON,Shopping,1800,debit,Credit Card,8032
2026-08-17,ELECTRICITY,Utilities,1600,debit,NetBanking,6432
2026-08-18,UNKNOWN MERCHANT,REVIEW_REQUIRED,900,debit,UPI,5532
2026-08-18,BLINKIT,Grocery,780,debit,UPI,4752
2026-08-19,PETROL,Transport,1200,debit,Debit Card,3552
2026-08-19,UPI CREDIT,P2P,2000,credit,UPI,5552
2026-08-20,DOMINOS,Food,660,debit,UPI,4892
2026-08-21,SHOPPING,Shopping,2400,debit,Credit Card,2492
2026-08-22,GROCERY,Groceries,1200,debit,Debit Card,1292

2026-08-23,SALARY CREDIT AUG,Income,52000,credit,NetBanking,53292
2026-08-23,RENT PAYMENT,Rent,18000,debit,UPI,35292
2026-08-24,SWIGGY,Food,370,debit,UPI,34922
2026-08-24,BIGBASKET,Grocery,2100,debit,UPI,32822
2026-08-25,PETROL,Transport,1300,debit,Debit Card,31522
2026-08-25,UPI UNKNOWN ZX,REVIEW_REQUIRED,820,debit,UPI,30702
